file_name,foreground_label,position_x,position_y
0163.png,7,123,81
0164.png,6,80,101
0165.png,0,180,173
0166.png,9,132,107
0167.png,5,126,47
0168.png,1,144,107
0169.png,3,6,63
0170.png,8,168,3
0171.png,2,127,97
0172.png,7,84,97
0173.png,5,187,7
0174.png,3,121,141
0175.png,4,122,105
0176.png,1,148,122
0177.png,5,113,70
0178.png,7,20,63
0179.png,0,2,1
0180.png,4,181,30
0181.png,7,35,37
0182.png,5,104,87
0183.png,5,69,0
0184.png,1,122,99
0185.png,0,11,49
0186.png,9,20,32
0187.png,6,117,117
0188.png,9,116,97
0189.png,0,58,18
0190.png,8,3,158
0191.png,7,29,6
0192.png,8,18,64
0193.png,8,81,142
0194.png,2,68,80
0195.png,5,88,45
0196.png,2,165,175
0197.png,3,86,178
0198.png,5,49,68
0199.png,0,156,122
0200.png,6,80,55
0201.png,1,3,175
0202.png,9,73,54
0203.png,3,146,64
0204.png,6,120,71
0205.png,9,133,122
0206.png,1,49,17
0207.png,3,143,103
0208.png,9,128,80
0209.png,6,8,87
0210.png,6,85,119
0211.png,7,47,48
0212.png,1,118,4
0213.png,0,62,86
0214.png,9,127,151
0215.png,5,180,64
0216.png,8,14,154
0217.png,5,190,22
0218.png,2,128,36
0219.png,9,50,129
0220.png,0,85,176
0221.png,8,105,67
0222.png,8,80,153
0223.png,0,183,149
0224.png,6,190,38
0225.png,9,43,19
0226.png,1,109,61
0227.png,1,148,70
0228.png,6,161,149
0229.png,3,126,1
0230.png,7,161,30
0231.png,6,122,175
0232.png,6,184,94
0233.png,0,145,122
0234.png,6,4,60
0235.png,6,47,3
0236.png,1,45,165
0237.png,7,168,117
0238.png,1,40,179
0239.png,5,82,30
0240.png,8,71,191
0241.png,3,79,63
0242.png,6,5,43
0243.png,6,184,59
0244.png,8,190,172
0245.png,6,101,11
0246.png,8,131,6
0247.png,4,117,18
0248.png,6,83,131
0249.png,6,189,10
0250.png,1,188,131
0251.png,3,48,191
0252.png,8,22,184
0253.png,3,135,34
0254.png,4,116,160
0255.png,1,85,98
0256.png,7,167,172
0257.png,1,116,70
0258.png,3,158,11
0259.png,8,178,90
0260.png,5,25,189
0261.png,1,0,18
0262.png,1,155,185
0263.png,4,159,99
0264.png,0,142,39
0265.png,9,41,186
0266.png,3,139,160
0267.png,7,180,18
0268.png,4,110,174
0269.png,9,94,93
0270.png,9,18,120
0271.png,2,14,63
0272.png,4,159,186
0273.png,9,86,166
0274.png,9,128,184
0275.png,1,116,68
0276.png,0,14,109
0277.png,5,95,26
0278.png,9,185,11
0279.png,0,61,24
0280.png,8,11,157
0281.png,2,151,46
0282.png,1,83,19
0283.png,2,153,186
0284.png,0,58,84
0285.png,5,116,2
0286.png,6,125,29
0287.png,3,61,53
0288.png,2,87,173
0289.png,7,99,36
0290.png,8,179,121
0291.png,8,12,72
0292.png,6,173,57
0293.png,0,15,20
0294.png,7,152,97
0295.png,9,185,135
0296.png,4,169,29
0297.png,5,129,172
0298.png,6,9,186
0299.png,4,124,95
0300.png,2,23,33
0301.png,1,185,4
0302.png,1,95,162
0303.png,2,26,68
0304.png,1,167,32
0305.png,5,186,31
0306.png,9,80,188
0307.png,9,32,67
0308.png,0,69,42
0309.png,8,114,128
0310.png,4,165,41
0311.png,1,40,88
0312.png,1,7,185
0313.png,6,96,67
0314.png,3,70,151
0315.png,3,90,161
0316.png,9,48,101
0317.png,0,158,48
0318.png,7,117,34
0319.png,9,17,112
0320.png,7,42,115
0321.png,7,169,62
0322.png,9,139,37
0323.png,1,141,173
0324.png,5,7,135
0325.png,1,10,169
0326.png,6,160,87
0327.png,6,145,145
0328.png,8,60,32
0329.png,7,83,91
0330.png,1,126,139
0331.png,3,180,28
0332.png,0,146,156
0333.png,3,4,158
0334.png,3,141,84
0335.png,2,124,24
0336.png,4,131,102
0337.png,5,189,106
0338.png,7,120,83
0339.png,5,93,147
0340.png,9,182,41
0341.png,0,23,87
0342.png,3,34,51
0343.png,4,81,132
0344.png,0,72,61
0345.png,4,154,31
0346.png,4,58,10
0347.png,6,98,146
0348.png,0,92,159
0349.png,0,25,53
0350.png,6,56,3
0351.png,6,122,71
0352.png,0,184,51
0353.png,8,175,156
0354.png,1,124,40
0355.png,6,157,81
0356.png,2,110,134
0357.png,9,101,59
0358.png,2,167,87
0359.png,5,54,109
0360.png,9,92,168
0361.png,6,117,185
0362.png,7,78,42
0363.png,4,115,16
0364.png,1,86,8
0365.png,8,54,54
0366.png,7,75,75
0367.png,3,156,33
0368.png,6,51,133
0369.png,9,39,106
0370.png,3,150,154
0371.png,0,20,173
0372.png,4,124,89
0373.png,0,72,58
0374.png,5,157,187
0375.png,1,48,159
0376.png,0,73,118
0377.png,3,34,20
0378.png,4,63,80
0379.png,8,96,88
0380.png,5,33,38
0381.png,4,43,176
0382.png,7,11,113
0383.png,2,49,170
0384.png,3,163,143
0385.png,9,147,155
0386.png,7,47,105
0387.png,6,162,121
0388.png,7,151,10
0389.png,1,58,35
0390.png,4,18,66
0391.png,7,99,137
0392.png,0,31,107
0393.png,1,54,191
0394.png,7,2,91
0395.png,3,119,55
0396.png,1,73,122
0397.png,8,127,62
0398.png,4,105,121
0399.png,4,155,96
0400.png,2,92,65
0401.png,0,188,123
0402.png,2,76,83
0403.png,2,179,86
0404.png,0,66,106
0405.png,0,35,158
0406.png,9,114,80
0407.png,0,3,30
0408.png,9,71,142
0409.png,6,120,8
0410.png,8,144,109
0411.png,2,29,84
0412.png,7,107,134
0413.png,7,94,183
0414.png,4,94,40
0415.png,0,141,9
0416.png,3,7,15
0417.png,0,12,48
0418.png,8,189,124
0419.png,9,175,122
0420.png,4,5,38
0421.png,2,10,170
0422.png,7,156,106
0423.png,2,162,162
0424.png,5,110,61
0425.png,2,8,103
0426.png,5,31,79
0427.png,1,88,125
0428.png,9,12,2
0429.png,4,13,101
0430.png,8,37,91
0431.png,5,105,103
0432.png,1,51,30
0433.png,7,34,132
0434.png,4,53,178
0435.png,4,86,102
0436.png,0,140,44
0437.png,6,50,73
0438.png,9,21,11
0439.png,0,152,6
0440.png,7,140,180
0441.png,8,26,36
0442.png,8,31,176
0443.png,9,18,31
0444.png,9,150,173
0445.png,3,148,60
0446.png,3,43,112
0447.png,4,72,94
0448.png,0,9,36
0449.png,4,173,151
0450.png,5,124,36
0451.png,6,67,75
0452.png,6,183,15
0453.png,0,41,67
0454.png,1,178,169
0455.png,0,104,119
0456.png,8,16,183
0457.png,0,92,143
0458.png,4,90,91
0459.png,8,127,137
0460.png,8,83,167
0461.png,1,143,175
0462.png,5,145,118
0463.png,2,136,39
0464.png,6,80,107
0465.png,8,150,82
0466.png,1,8,72
0467.png,0,79,29
0468.png,0,72,39
0469.png,7,20,3
0470.png,7,118,13
0471.png,5,171,103
0472.png,9,139,50
0473.png,6,52,132
0474.png,2,167,140
0475.png,8,112,137
0476.png,3,36,180
0477.png,4,144,15
0478.png,7,38,25
0479.png,3,44,49
0480.png,9,0,166
0481.png,0,174,88
0482.png,1,141,51
0483.png,2,74,125
0484.png,4,187,138
0485.png,8,17,105
0486.png,1,50,183
0487.png,8,66,56
0488.png,6,14,167
0489.png,4,24,157
0490.png,4,59,58
0491.png,5,99,116
0492.png,7,73,57
0493.png,1,57,170
0494.png,3,49,149
0495.png,9,188,18
0496.png,8,14,29
0497.png,0,12,153
0498.png,1,21,81
0499.png,7,132,67
0500.png,5,87,104
0501.png,8,92,11
0502.png,2,146,4
0503.png,8,130,154
0504.png,0,53,136
0505.png,4,141,100
0506.png,1,185,95
0507.png,8,157,144
0508.png,9,151,117
0509.png,8,22,92
0510.png,2,176,138
0511.png,9,185,150
0512.png,9,176,162
0513.png,2,181,83
0514.png,7,10,181
0515.png,5,98,112
0516.png,7,99,185
0517.png,3,25,108
0518.png,8,47,41
0519.png,8,104,6
0520.png,4,134,114
0521.png,4,100,132
0522.png,2,93,16
0523.png,7,67,62
0524.png,1,132,144
0525.png,6,136,118
0526.png,4,87,14
0527.png,0,93,59
0528.png,4,30,77
0529.png,6,117,31
0530.png,9,154,91
0531.png,7,75,61
0532.png,6,48,125
0533.png,2,64,76
0534.png,5,75,33
0535.png,5,53,143
0536.png,1,10,28
0537.png,7,15,12
0538.png,2,121,33
0539.png,2,80,120
0540.png,2,137,15
0541.png,9,110,93
0542.png,5,167,96
0543.png,4,170,39
0544.png,2,109,160
0545.png,7,168,13
0546.png,8,135,3
0547.png,1,99,82
0548.png,3,88,113
0549.png,4,162,6
0550.png,3,85,98
0551.png,7,15,158
0552.png,6,124,3
0553.png,9,74,125
0554.png,8,15,173
0555.png,0,91,189
0556.png,6,11,106
0557.png,0,139,140
0558.png,2,122,3
0559.png,2,49,39
0560.png,2,79,120
0561.png,1,2,63
0562.png,8,190,98
0563.png,4,168,14
0564.png,0,84,181
0565.png,1,166,121
0566.png,8,147,155
0567.png,8,81,97
0568.png,1,130,160
0569.png,5,157,158
0570.png,7,145,166
0571.png,6,66,125
0572.png,4,145,43
0573.png,5,130,16
0574.png,8,80,191
0575.png,7,76,96
0576.png,1,168,129
0577.png,9,108,91
0578.png,1,171,67
0579.png,9,115,63
0580.png,8,36,65
0581.png,4,145,76
0582.png,7,51,92
0583.png,3,57,155
0584.png,8,131,21
0585.png,8,30,8
0586.png,2,79,167
0587.png,6,50,157
0588.png,6,160,142
0589.png,7,152,7
0590.png,1,139,20
0591.png,6,169,109
0592.png,8,113,64
0593.png,1,113,126
0594.png,9,64,24
0595.png,7,19,39
0596.png,8,20,35
0597.png,3,118,93
0598.png,0,139,168
0599.png,1,41,31
0600.png,0,179,155
0601.png,8,168,169
0602.png,8,90,45
0603.png,3,190,14
0604.png,0,47,8
0605.png,0,13,86
0606.png,1,155,39
0607.png,5,57,23
0608.png,0,108,46
0609.png,8,158,23
0610.png,8,118,82
0611.png,7,131,116
0612.png,9,12,39
0613.png,9,27,73
0614.png,0,159,21
0615.png,9,73,173
0616.png,4,137,122
0617.png,1,125,51
0618.png,3,185,122
0619.png,6,102,97
0620.png,6,108,81
0621.png,4,109,139
0622.png,4,152,72
0623.png,7,103,139
0624.png,5,160,6
0625.png,6,171,115
0626.png,0,14,90
0627.png,8,189,143
0628.png,0,90,113
0629.png,3,24,34
0630.png,2,28,163
0631.png,8,11,169
0632.png,4,73,181
0633.png,6,187,163
0634.png,9,33,62
0635.png,9,7,119
0636.png,7,34,89
0637.png,0,94,42
0638.png,3,130,165
0639.png,3,72,5
0640.png,6,8,7
0641.png,7,14,188
0642.png,4,189,83
0643.png,9,91,132
0644.png,1,21,41
0645.png,6,166,96
0646.png,2,50,132
0647.png,7,108,5
0648.png,2,138,12
0649.png,2,153,82
0650.png,0,158,95
0651.png,6,71,188
0652.png,7,44,27
0653.png,5,19,111
0654.png,7,1,175
0655.png,6,183,165
0656.png,8,129,43
0657.png,9,55,129
0658.png,0,97,191
0659.png,9,115,50
0660.png,4,56,148
0661.png,4,189,187
0662.png,7,190,101
0663.png,0,162,146
0664.png,9,162,149
0665.png,4,152,152
0666.png,9,46,97
0667.png,6,85,143
0668.png,9,157,104
0669.png,4,128,71
0670.png,5,82,145
0671.png,7,89,29
0672.png,9,129,166
0673.png,2,40,163
0674.png,4,82,11
0675.png,5,18,28
0676.png,1,153,123
0677.png,4,73,100
0678.png,3,132,40
0679.png,9,164,68
0680.png,6,48,94
0681.png,5,75,117
0682.png,6,58,56
0683.png,9,129,144
0684.png,3,158,26
0685.png,3,123,159
0686.png,5,164,74
0687.png,0,3,157
0688.png,7,20,28
0689.png,2,106,87
0690.png,1,143,127
0691.png,3,124,117
0692.png,6,60,78
0693.png,4,67,137
0694.png,0,31,94
0695.png,0,83,77
0696.png,2,187,41
0697.png,5,28,145
0698.png,0,80,3
0699.png,1,95,101
0700.png,0,29,67
0701.png,2,104,158
0702.png,3,168,148
0703.png,9,24,118
0704.png,8,144,42
0705.png,4,91,128
0706.png,9,23,43
0707.png,8,118,188
0708.png,0,42,125
0709.png,2,72,13
0710.png,6,58,117
0711.png,4,125,112
0712.png,4,19,186
0713.png,0,72,63
0714.png,1,166,186
0715.png,8,178,9
0716.png,8,187,139
0717.png,3,97,168
0718.png,6,46,26
0719.png,9,85,6
0720.png,6,98,136
0721.png,6,169,48
0722.png,7,183,104
0723.png,8,6,163
0724.png,2,45,175
0725.png,4,140,101
0726.png,5,113,23
0727.png,7,0,77
0728.png,6,65,119
0729.png,5,165,33
0730.png,3,92,6
0731.png,0,61,47
0732.png,5,147,112
0733.png,0,82,116
0734.png,5,79,37
0735.png,0,85,16
0736.png,8,67,70
0737.png,2,185,164
0738.png,6,131,81
0739.png,7,191,172
0740.png,3,93,78
0741.png,8,110,191
0742.png,2,168,40
0743.png,1,87,142
0744.png,7,153,88
0745.png,6,90,171
0746.png,7,167,47
0747.png,1,187,159
0748.png,0,91,18
0749.png,9,59,133
0750.png,5,140,172
0751.png,5,18,183
0752.png,0,131,15
0753.png,1,23,153
0754.png,7,56,139
0755.png,6,65,144
0756.png,9,129,23
0757.png,0,142,150
0758.png,4,123,177
0759.png,7,14,30
0760.png,7,94,37
0761.png,1,67,4
0762.png,5,8,85
0763.png,9,82,50
0764.png,4,67,21
0765.png,0,133,124
0766.png,8,52,164
0767.png,5,0,99
0768.png,9,156,140
0769.png,9,174,25
0770.png,6,135,126
0771.png,7,16,77
0772.png,1,121,22
0773.png,8,171,53
0774.png,3,49,110
0775.png,2,22,150
0776.png,3,112,168
0777.png,8,9,33
0778.png,2,100,40
0779.png,2,105,40
0780.png,4,126,148
0781.png,6,33,92
0782.png,0,24,170
0783.png,0,45,30
0784.png,5,27,126
0785.png,3,14,61
0786.png,8,55,150
0787.png,2,67,95
0788.png,3,89,138
0789.png,7,90,31
0790.png,2,102,85
0791.png,9,130,110
0792.png,3,82,83
0793.png,8,23,170
0794.png,7,121,80
0795.png,8,93,89
0796.png,2,22,161
0797.png,7,126,143
0798.png,9,24,138
0799.png,0,27,158
0800.png,2,167,144
0801.png,3,55,165
0802.png,2,164,139
0803.png,2,110,165
0804.png,2,188,188
0805.png,3,124,32
0806.png,3,79,33
0807.png,6,28,169
0808.png,2,176,170
0809.png,3,54,78
0810.png,2,95,143
0811.png,8,52,80
0812.png,0,52,125
0813.png,5,137,106
0814.png,5,100,48
0815.png,1,95,188
0816.png,4,43,159
0817.png,5,46,131
0818.png,6,59,156
0819.png,6,27,51
0820.png,2,37,164
0821.png,7,88,27
0822.png,0,115,128
0823.png,1,103,82
0824.png,7,9,23
0825.png,7,122,174
0826.png,8,26,160
0827.png,2,12,19
0828.png,9,120,66
0829.png,2,57,69
0830.png,2,148,145
0831.png,4,60,107
0832.png,2,133,94
0833.png,1,64,118
0834.png,1,53,134
0835.png,1,119,20
0836.png,6,38,23
0837.png,6,137,102
0838.png,6,5,17
0839.png,5,58,79
0840.png,1,148,117
0841.png,1,3,43
0842.png,7,128,101
0843.png,0,66,138
0844.png,4,187,110
0845.png,3,129,41
0846.png,3,6,19
0847.png,7,138,79
0848.png,1,130,83
0849.png,2,39,104
0850.png,3,60,32
0851.png,5,99,172
0852.png,5,12,124
0853.png,5,190,18
0854.png,6,132,182
0855.png,1,127,36
0856.png,4,188,83
0857.png,3,79,164
0858.png,7,166,51
0859.png,8,20,147
0860.png,8,54,142
0861.png,3,185,14
0862.png,6,39,94
0863.png,6,177,128
0864.png,2,183,185
0865.png,3,104,83
0866.png,0,135,13
0867.png,9,87,7
0868.png,4,171,79
0869.png,3,146,186
0870.png,8,32,181
0871.png,0,161,42
0872.png,0,43,20
0873.png,1,161,155
0874.png,1,165,143
0875.png,5,22,166
0876.png,4,14,33
0877.png,9,124,176
0878.png,3,95,67
0879.png,1,51,77
0880.png,8,106,67
0881.png,9,157,61
0882.png,3,184,24
0883.png,9,97,84
0884.png,9,7,8
0885.png,2,165,67
0886.png,9,149,11
0887.png,4,96,53
0888.png,8,120,57
0889.png,2,114,176
0890.png,9,188,125
0891.png,8,121,80
0892.png,8,40,135
0893.png,1,186,134
0894.png,5,31,95
0895.png,3,153,147
0896.png,6,83,143
0897.png,8,95,65
0898.png,7,153,137
0899.png,6,162,49
0900.png,9,29,96
0901.png,8,27,104
0902.png,0,113,64
0903.png,6,60,117
0904.png,4,126,70
0905.png,0,28,112
0906.png,0,38,64
0907.png,2,161,171
0908.png,5,48,92
0909.png,8,100,133
0910.png,2,132,145
0911.png,0,46,22
0912.png,2,170,71
0913.png,7,104,93
0914.png,6,24,85
0915.png,9,80,165
0916.png,7,178,70
0917.png,1,57,179
0918.png,5,123,153
0919.png,5,141,160
0920.png,6,171,89
0921.png,6,9,112
0922.png,3,81,95
0923.png,6,149,70
0924.png,2,180,125
0925.png,4,189,45
0926.png,7,116,169
0927.png,0,90,53
0928.png,5,169,113
0929.png,6,186,25
0930.png,4,155,36
0931.png,6,70,184
0932.png,5,191,93
0933.png,2,122,112
0934.png,4,86,31
0935.png,6,167,8
0936.png,1,124,146
0937.png,6,106,162
0938.png,0,111,66
0939.png,4,129,170
0940.png,0,190,18
0941.png,3,140,116
0942.png,1,182,37
0943.png,8,116,58
0944.png,5,142,90
0945.png,4,120,60
0946.png,4,95,180
0947.png,1,63,126
0948.png,7,112,169
0949.png,3,185,39
0950.png,9,43,26
0951.png,4,0,5
0952.png,7,112,169
0953.png,9,13,57
0954.png,7,122,186
0955.png,3,14,11
0956.png,7,125,154
0957.png,2,163,159
0958.png,8,179,43
0959.png,4,156,160
0960.png,6,34,118
0961.png,6,101,112
0962.png,1,48,168
0963.png,2,191,109
0964.png,9,19,33
0965.png,0,18,72
0966.png,4,169,86
0967.png,8,187,174
0968.png,7,132,179
0969.png,3,71,14
0970.png,9,34,49
0971.png,8,19,53
0972.png,7,112,186
0973.png,7,82,179
0974.png,0,25,34
0975.png,2,70,76
0976.png,4,105,62
0977.png,1,80,183
0978.png,1,111,121
0979.png,4,139,13
0980.png,1,186,100
0981.png,5,163,107
0982.png,4,157,115
0983.png,0,53,54
0984.png,5,136,92
0985.png,6,100,53
0986.png,2,117,162
0987.png,8,34,96
0988.png,5,67,127
0989.png,0,141,61
0990.png,2,51,55
0991.png,1,139,162
0992.png,3,40,94
0993.png,5,152,186
0994.png,7,171,9
0995.png,3,153,112
0996.png,5,13,68
0997.png,1,66,130
0998.png,3,24,1
0999.png,5,120,152
1000.png,9,2,67
1001.png,4,81,50
1002.png,3,36,110
1003.png,2,148,147
1004.png,4,149,30
1005.png,4,22,164
1006.png,1,51,105
1007.png,4,117,17
1008.png,2,117,92
1009.png,2,32,69
1010.png,3,164,40
1011.png,8,179,165
1012.png,0,33,74
1013.png,6,70,6
1014.png,8,94,179
1015.png,5,52,64
1016.png,6,145,143
1017.png,6,60,104
1018.png,4,70,111
1019.png,7,151,91
1020.png,1,97,56
1021.png,1,63,44
1022.png,4,120,149
1023.png,6,59,82
1024.png,2,110,148
1025.png,3,100,68
1026.png,9,60,43
1027.png,6,19,14
1028.png,9,98,63
1029.png,1,123,149
1030.png,3,51,70
1031.png,6,23,39
1032.png,8,98,112
1033.png,5,177,12
1034.png,9,46,128
1035.png,6,19,171
1036.png,8,0,185
1037.png,1,26,34
1038.png,6,131,134
1039.png,0,27,16
1040.png,2,168,15
1041.png,3,97,172
1042.png,7,25,123
1043.png,9,166,47
1044.png,0,189,109
1045.png,9,102,106
1046.png,7,128,84
1047.png,6,86,145
1048.png,3,121,118
1049.png,9,22,142
1050.png,2,7,7
1051.png,6,29,30
1052.png,1,35,152
1053.png,6,111,173
1054.png,7,154,123
1055.png,3,188,98
1056.png,8,187,10
1057.png,3,185,64
1058.png,8,20,173
1059.png,3,3,62
1060.png,8,61,113
1061.png,5,137,103
1062.png,9,20,147
1063.png,6,77,5
1064.png,1,17,19
1065.png,2,118,15
1066.png,5,25,23
1067.png,2,102,188
1068.png,1,116,78
1069.png,4,175,160
1070.png,3,144,42
1071.png,7,71,76
1072.png,5,182,170
1073.png,9,23,0
1074.png,3,174,188
1075.png,9,5,104
1076.png,3,156,103
1077.png,2,49,153
1078.png,9,107,171
1079.png,1,26,41
1080.png,8,37,185
1081.png,5,164,187
1082.png,9,6,142
1083.png,7,93,154
1084.png,2,57,183
1085.png,6,20,177
1086.png,0,100,89
1087.png,8,159,101
1088.png,5,154,68
1089.png,7,44,88
1090.png,1,91,185
1091.png,5,157,171
1092.png,8,32,133
1093.png,5,39,183
1094.png,7,59,93
1095.png,1,179,31
1096.png,5,56,130
1097.png,0,123,2
1098.png,3,167,86
1099.png,9,186,153
1100.png,3,133,32
1101.png,6,45,13
1102.png,9,168,83
1103.png,1,5,142
1104.png,3,40,149
1105.png,9,75,43
1106.png,8,179,178
1107.png,2,118,186
1108.png,2,160,34
1109.png,3,41,24
1110.png,2,141,69
1111.png,5,125,19
1112.png,9,104,11
1113.png,7,187,107
1114.png,9,184,151
1115.png,9,18,40
1116.png,8,172,138
1117.png,9,50,158
1118.png,7,117,20
1119.png,0,179,188
1120.png,3,125,67
1121.png,3,28,79
1122.png,2,122,150
1123.png,0,65,42
1124.png,3,68,32
1125.png,7,84,101
1126.png,6,147,105
1127.png,3,174,8
1128.png,3,141,89
1129.png,2,138,4
1130.png,0,0,69
1131.png,6,86,160
1132.png,6,146,79
1133.png,5,88,188
1134.png,5,45,43
1135.png,7,171,49
1136.png,5,88,56
1137.png,9,84,45
1138.png,8,149,171
1139.png,2,70,15
1140.png,9,128,94
1141.png,8,149,71
1142.png,0,33,61
1143.png,4,156,93
1144.png,0,87,110
1145.png,1,158,93
1146.png,2,166,76
1147.png,0,102,95
1148.png,4,151,2
1149.png,7,26,4
1150.png,3,154,134
1151.png,8,118,191
1152.png,5,97,182
1153.png,1,49,67
1154.png,6,41,172
1155.png,6,89,143
1156.png,5,72,83
1157.png,5,91,146
1158.png,4,137,71
1159.png,6,18,51
1160.png,3,31,184
1161.png,6,12,152
1162.png,8,174,100
1163.png,2,51,152
1164.png,3,41,14
1165.png,7,55,39
1166.png,0,152,189
1167.png,7,138,40
1168.png,0,15,177
1169.png,4,74,42
1170.png,1,59,31
1171.png,9,47,159
1172.png,5,56,85
1173.png,7,99,10
1174.png,8,133,91
1175.png,6,153,185
1176.png,6,66,165
1177.png,8,125,169
1178.png,0,28,5
1179.png,7,154,23
1180.png,2,33,161
1181.png,8,86,147
1182.png,4,23,16
1183.png,8,177,19
1184.png,2,55,30
1185.png,0,150,20
1186.png,9,80,91
1187.png,0,84,167
1188.png,0,157,12
1189.png,2,134,155
1190.png,9,26,66
1191.png,6,2,89
1192.png,6,92,46
1193.png,5,118,87
1194.png,6,181,39
1195.png,0,134,107
1196.png,3,112,143
1197.png,7,26,4
1198.png,5,18,140
1199.png,5,179,53
1200.png,7,68,36
1201.png,9,125,132
1202.png,3,86,172
1203.png,4,131,156
1204.png,5,188,181
1205.png,0,77,184
1206.png,5,145,17
1207.png,2,30,15
1208.png,3,74,30
1209.png,2,85,58
1210.png,6,44,46
1211.png,0,163,113
1212.png,4,133,84
1213.png,9,172,29
1214.png,0,87,30
1215.png,7,45,28
1216.png,0,151,95
1217.png,9,158,30
1218.png,7,83,96
1219.png,2,69,11
1220.png,6,90,79
1221.png,4,62,85
1222.png,6,77,36
1223.png,9,89,14
1224.png,5,144,94
1225.png,4,79,22
1226.png,7,132,48
1227.png,0,93,159
1228.png,6,47,79
1229.png,8,138,125
1230.png,8,187,3
1231.png,9,2,75
1232.png,9,99,78
1233.png,9,81,126
1234.png,0,127,60
1235.png,9,113,183
1236.png,8,106,85
1237.png,6,49,190
1238.png,4,166,135
1239.png,8,9,86
1240.png,1,111,164
1241.png,9,110,70
1242.png,1,23,140
1243.png,0,80,137
1244.png,5,53,42
1245.png,8,85,45
1246.png,6,146,27
1247.png,9,177,58
1248.png,6,111,85
1249.png,0,33,186
1250.png,8,152,7
1251.png,1,110,83
1252.png,3,45,82
1253.png,9,42,117
1254.png,4,95,95
1255.png,8,125,187
1256.png,4,168,179
1257.png,3,187,177
1258.png,2,175,4
1259.png,6,164,45
1260.png,0,189,6
1261.png,8,134,169
1262.png,9,45,144
1263.png,9,175,29
1264.png,4,61,114
1265.png,3,184,171
1266.png,0,86,161
1267.png,2,153,125
1268.png,4,134,182
