file_name,foreground_label,background_label,position_x,position_y
0226.png,1,69,37,22
0227.png,1,15,70,118
0228.png,6,3,48,48
0229.png,3,47,81,115
0230.png,7,85,154,121
0231.png,6,99,189,82
0232.png,6,86,106,21
0233.png,0,27,57,61
0234.png,6,14,187,112
0235.png,6,91,169,16
0236.png,1,57,94,48
0237.png,7,70,190,80
0238.png,1,6,48,147
0239.png,5,33,167,8
0240.png,8,22,167,63
0241.png,3,68,170,32
0242.png,6,81,51,86
0243.png,6,1,163,147
0244.png,8,84,180,43
0245.png,6,29,147,182
0246.png,8,9,83,142
0247.png,4,99,166,163
0248.png,6,75,118,10
0249.png,6,67,167,158
0250.png,1,27,58,116
0251.png,3,21,62,180
0252.png,8,98,94,179
0253.png,3,43,100,176
0254.png,4,9,88,73
0255.png,1,11,73,183
0256.png,7,56,83,102
0257.png,1,9,156,89
0258.png,3,99,181,175
0259.png,8,39,146,21
0260.png,5,71,145,48
0261.png,1,0,96,77
0262.png,1,44,103,137
0263.png,4,97,101,187
0264.png,0,33,12,101
0265.png,9,46,70,121
0266.png,3,34,110,93
0267.png,7,8,137,104
0268.png,4,0,143,139
0269.png,9,15,138,172
0270.png,9,61,112,134
0271.png,2,40,62,11
0272.png,4,95,59,33
0273.png,9,84,170,115
0274.png,9,50,173,189
0275.png,1,89,22,168
0276.png,0,101,55,70
0277.png,5,42,135,22
0278.png,9,12,118,175
0279.png,0,77,90,42
0280.png,8,42,36,21
0281.png,2,99,145,81
0282.png,1,23,3,45
0283.png,2,73,86,181
0284.png,0,7,85,190
0285.png,5,42,165,62
0286.png,6,65,71,35
0287.png,3,6,135,11
0288.png,2,77,171,165
0289.png,7,84,29,107
0290.png,8,58,62,131
0291.png,8,37,124,181
0292.png,6,83,147,50
0293.png,0,92,144,125
0294.png,7,1,30,141
0295.png,9,35,56,16
0296.png,4,22,118,41
0297.png,5,72,0,187
0298.png,6,75,109,144
0299.png,4,7,2,54
0300.png,2,24,30,22
0301.png,1,11,168,138
0302.png,1,73,152,44
0303.png,2,101,21,181
0304.png,1,2,23,154
0305.png,5,2,13,15
0306.png,9,57,112,175
0307.png,9,0,19,156
0308.png,0,2,93,52
0309.png,8,49,169,71
0310.png,4,12,73,180
0311.png,1,29,115,3
0312.png,1,49,56,165
0313.png,6,0,27,69
0314.png,3,23,52,71
0315.png,3,84,96,70
0316.png,9,55,29,183
0317.png,0,65,136,96
0318.png,7,53,33,93
0319.png,9,1,85,36
0320.png,7,93,43,42
0321.png,7,3,123,48
0322.png,9,15,64,132
0323.png,1,21,24,126
0324.png,5,38,108,91
0325.png,1,66,47,133
0326.png,6,65,188,44
0327.png,6,60,17,51
0328.png,8,55,64,37
0329.png,7,57,97,131
0330.png,1,63,71,117
0331.png,3,16,38,124
0332.png,0,56,53,107
0333.png,3,69,164,88
0334.png,3,1,1,42
0335.png,2,59,129,128
0336.png,4,67,30,138
0337.png,5,99,184,154
0338.png,7,6,173,111
0339.png,5,76,183,63
0340.png,9,78,126,57
0341.png,0,83,25,166
0342.png,3,69,5,147
0343.png,4,74,41,79
0344.png,0,44,45,115
0345.png,4,6,66,48
0346.png,4,92,118,72
0347.png,6,20,26,97
0348.png,0,3,125,103
0349.png,0,45,43,182
0350.png,6,79,104,145
0351.png,6,32,117,21
0352.png,0,77,23,36
0353.png,8,12,120,2
0354.png,1,40,7,160
0355.png,6,18,94,188
0356.png,2,23,176,155
0357.png,9,44,180,177
0358.png,2,27,167,153
0359.png,5,23,26,14
0360.png,9,65,188,137
0361.png,6,39,66,157
0362.png,7,48,172,133
0363.png,4,19,172,110
0364.png,1,82,191,52
0365.png,8,37,113,15
0366.png,7,99,21,139
0367.png,3,3,164,76
0368.png,6,57,154,57
0369.png,9,70,186,54
0370.png,3,45,132,70
0371.png,0,92,141,160
0372.png,4,21,86,100
0373.png,0,18,121,78
0374.png,5,25,112,12
0375.png,1,65,176,31
0376.png,0,40,76,123
0377.png,3,30,184,187
0378.png,4,70,149,15
0379.png,8,51,124,186
0380.png,5,54,97,176
0381.png,4,94,153,18
0382.png,7,67,157,31
0383.png,2,53,40,144
0384.png,3,53,129,13
0385.png,9,82,55,9
0386.png,7,83,117,96
0387.png,6,80,71,82
0388.png,7,98,86,176
0389.png,1,68,152,167
0390.png,4,89,38,163
0391.png,7,94,72,160
0392.png,0,37,107,50
0393.png,1,39,68,140
0394.png,7,31,114,163
0395.png,3,37,21,21
0396.png,1,74,169,58
0397.png,8,94,124,38
0398.png,4,18,25,73
0399.png,4,80,153,74
0400.png,2,43,170,17
0401.png,0,67,108,26
0402.png,2,56,163,62
0403.png,2,34,147,128
0404.png,0,15,63,79
0405.png,0,42,153,191
0406.png,9,15,22,152
0407.png,0,12,18,59
0408.png,9,13,175,27
0409.png,6,101,20,40
0410.png,8,76,95,90
0411.png,2,92,80,149
0412.png,7,51,69,31
0413.png,7,51,67,35
0414.png,4,57,101,88
0415.png,0,39,8,98
0416.png,3,90,21,188
0417.png,0,1,68,159
0418.png,8,18,117,103
0419.png,9,29,113,80
0420.png,4,0,120,117
0421.png,2,52,179,139
0422.png,7,68,76,4
0423.png,2,5,70,145
0424.png,5,95,18,137
0425.png,2,67,37,15
0426.png,5,13,160,115
0427.png,1,99,45,42
0428.png,9,95,95,160
0429.png,4,66,32,183
0430.png,8,29,146,169
0431.png,5,20,81,102
0432.png,1,11,50,182
0433.png,7,100,140,180
0434.png,4,74,0,57
0435.png,4,11,100,191
0436.png,0,83,47,114
0437.png,6,45,135,5
0438.png,9,50,151,168
0439.png,0,0,179,148
0440.png,7,89,71,73
0441.png,8,9,9,119
0442.png,8,6,178,186
0443.png,9,36,21,63
0444.png,9,89,120,52
0445.png,3,95,100,142
0446.png,3,70,165,58
0447.png,4,60,11,82
0448.png,0,4,22,43
0449.png,4,34,152,113
0450.png,5,1,74,161
0451.png,6,8,15,141
0452.png,6,0,19,49
0453.png,0,19,11,66
0454.png,1,88,110,109
0455.png,0,49,30,50
0456.png,8,6,139,92
0457.png,0,1,99,117
0458.png,4,59,6,114
0459.png,8,58,141,41
0460.png,8,13,187,3
0461.png,1,68,46,134
0462.png,5,53,89,178
0463.png,2,57,46,114
0464.png,6,32,23,115
0465.png,8,65,0,5
0466.png,1,68,146,110
0467.png,0,92,160,114
0468.png,0,92,64,92
0469.png,7,27,41,76
0470.png,7,54,43,168
0471.png,5,22,41,59
0472.png,9,39,4,92
0473.png,6,30,179,141
0474.png,2,22,90,55
0475.png,8,34,97,172
0476.png,3,20,95,50
0477.png,4,2,100,91
0478.png,7,14,46,83
0479.png,3,16,95,10
0480.png,9,101,119,132
0481.png,0,18,81,75
0482.png,1,94,122,144
0483.png,2,38,5,5
0484.png,4,97,51,78
0485.png,8,81,25,99
0486.png,1,92,151,32
0487.png,8,5,108,53
0488.png,6,98,107,90
0489.png,4,2,98,52
0490.png,4,2,113,17
0491.png,5,6,20,179
0492.png,7,47,191,116
0493.png,1,35,62,184
0494.png,3,31,30,155
0495.png,9,87,56,3
0496.png,8,76,46,147
0497.png,0,18,176,116
0498.png,1,55,108,133
0499.png,7,100,31,83
0500.png,5,49,177,0
0501.png,8,70,4,143
0502.png,2,85,169,37
0503.png,8,74,55,159
0504.png,0,65,167,145
0505.png,4,91,110,189
0506.png,1,76,142,88
0507.png,8,43,125,178
0508.png,9,41,1,62
0509.png,8,89,147,109
0510.png,2,43,145,151
0511.png,9,4,87,28
0512.png,9,71,147,64
0513.png,2,45,122,160
0514.png,7,51,180,113
0515.png,5,30,74,144
0516.png,7,21,64,155
0517.png,3,7,164,63
0518.png,8,30,191,75
0519.png,8,26,31,67
0520.png,4,57,57,116
0521.png,4,80,91,87
0522.png,2,93,25,4
0523.png,7,35,15,133
0524.png,1,35,162,86
0525.png,6,84,19,83
0526.png,4,17,161,27
0527.png,0,84,168,159
0528.png,4,30,189,132
0529.png,6,72,149,124
0530.png,9,65,69,190
0531.png,7,29,169,44
0532.png,6,40,128,123
0533.png,2,74,57,125
0534.png,5,60,61,165
0535.png,5,65,96,63
0536.png,1,95,23,125
0537.png,7,17,184,46
0538.png,2,81,86,77
0539.png,2,75,87,36
0540.png,2,36,67,149
0541.png,9,27,105,25
0542.png,5,33,40,140
0543.png,4,1,143,23
0544.png,2,22,103,160
0545.png,7,8,76,151
0546.png,8,45,13,186
0547.png,1,80,129,48
0548.png,3,20,85,16
0549.png,4,28,10,81
0550.png,3,89,118,64
0551.png,7,79,26,126
0552.png,6,42,179,157
0553.png,9,54,84,141
0554.png,8,32,43,73
0555.png,0,38,166,56
0556.png,6,92,92,69
0557.png,0,91,83,163
0558.png,2,69,165,169
0559.png,2,16,36,61
0560.png,2,82,129,77
0561.png,1,75,71,67
0562.png,8,19,67,37
0563.png,4,21,60,153
0564.png,0,57,54,124
0565.png,1,7,17,42
0566.png,8,6,103,62
0567.png,8,44,51,125
0568.png,1,45,77,29
0569.png,5,79,7,152
0570.png,7,95,59,144
0571.png,6,87,73,66
0572.png,4,0,143,3
0573.png,5,2,115,170
0574.png,8,87,106,63
0575.png,7,97,88,87
0576.png,1,25,71,86
0577.png,9,25,138,36
0578.png,1,26,161,49
0579.png,9,67,78,95
0580.png,8,4,98,145
0581.png,4,8,85,135
0582.png,7,7,96,169
0583.png,3,96,159,113
0584.png,8,11,148,115
0585.png,8,13,139,169
0586.png,2,28,80,88
0587.png,6,44,113,62
0588.png,6,27,151,114
0589.png,7,26,86,33
0590.png,1,0,170,1
0591.png,6,50,109,166
0592.png,8,2,15,181
0593.png,1,33,162,60
0594.png,9,22,95,165
0595.png,7,80,63,60
0596.png,8,38,69,120
0597.png,3,73,31,59
0598.png,0,49,117,36
0599.png,1,33,163,150
0600.png,0,62,90,101
0601.png,8,4,9,17
0602.png,8,91,184,113
0603.png,3,61,77,183
0604.png,0,10,163,144
0605.png,0,67,45,108
0606.png,1,77,110,65
0607.png,5,46,0,155
0608.png,0,65,125,15
0609.png,8,45,27,1
0610.png,8,25,76,164
0611.png,7,67,110,62
0612.png,9,38,151,185
0613.png,9,63,130,75
0614.png,0,15,174,70
0615.png,9,66,29,19
0616.png,4,5,16,47
0617.png,1,55,77,0
0618.png,3,4,186,124
0619.png,6,54,80,179
0620.png,6,92,137,137
0621.png,4,67,131,79
0622.png,4,0,178,2
0623.png,7,23,191,99
0624.png,5,62,18,57
0625.png,6,54,100,74
0626.png,0,30,124,40
0627.png,8,23,88,106
0628.png,0,7,122,191
0629.png,3,94,58,82
0630.png,2,1,8,26
0631.png,8,87,157,59
0632.png,4,8,44,105
0633.png,6,61,191,59
0634.png,9,57,106,129
0635.png,9,64,119,80
0636.png,7,13,70,47
0637.png,0,93,64,134
0638.png,3,54,130,178
0639.png,3,57,22,32
0640.png,6,1,111,1
0641.png,7,65,191,174
0642.png,4,52,147,60
0643.png,9,34,155,13
0644.png,1,89,47,47
0645.png,6,15,170,58
0646.png,2,61,78,105
0647.png,7,76,191,148
0648.png,2,29,62,84
0649.png,2,15,50,133
0650.png,0,53,156,140
0651.png,6,75,122,168
0652.png,7,23,78,44
0653.png,5,54,30,83
0654.png,7,3,118,97
0655.png,6,68,103,60
0656.png,8,46,141,95
0657.png,9,60,55,186
0658.png,0,59,180,13
0659.png,9,7,40,155
0660.png,4,56,52,106
0661.png,4,26,70,150
0662.png,7,56,148,174
0663.png,0,95,81,128
0664.png,9,29,22,190
0665.png,4,78,173,54
0666.png,9,31,62,108
0667.png,6,53,158,107
0668.png,9,30,5,125
0669.png,4,64,97,26
0670.png,5,90,126,179
0671.png,7,39,22,18
0672.png,9,46,40,112
0673.png,2,34,187,158
0674.png,4,71,3,9
0675.png,5,31,116,42
0676.png,1,45,165,59
0677.png,4,74,156,74
0678.png,3,66,35,190
0679.png,9,88,176,90
0680.png,6,97,167,32
0681.png,5,100,81,141
0682.png,6,71,134,170
0683.png,9,57,188,171
0684.png,3,49,166,107
0685.png,3,0,35,181
0686.png,5,68,43,181
0687.png,0,23,53,83
0688.png,7,4,52,68
0689.png,2,33,53,46
0690.png,1,1,65,178
0691.png,3,4,47,171
0692.png,6,35,92,54
0693.png,4,64,120,124
0694.png,0,0,62,18
0695.png,0,73,72,187
0696.png,2,41,94,133
0697.png,5,96,77,78
0698.png,0,47,78,139
0699.png,1,93,134,146
0700.png,0,40,112,18
0701.png,2,60,26,131
0702.png,3,17,153,174
0703.png,9,6,148,14
0704.png,8,0,45,18
0705.png,4,18,155,48
0706.png,9,26,75,68
0707.png,8,39,43,82
0708.png,0,6,18,141
0709.png,2,29,146,141
0710.png,6,93,12,71
0711.png,4,99,43,97
0712.png,4,65,149,57
0713.png,0,53,70,50
0714.png,1,11,58,29
0715.png,8,13,109,10
0716.png,8,13,177,105
0717.png,3,61,27,65
0718.png,6,32,99,74
0719.png,9,77,21,184
0720.png,6,35,182,54
0721.png,6,68,181,53
0722.png,7,14,57,167
0723.png,8,55,111,123
0724.png,2,80,108,157
0725.png,4,6,61,173
0726.png,5,89,165,191
0727.png,7,11,17,146
0728.png,6,41,54,14
0729.png,5,27,85,157
0730.png,3,39,126,130
0731.png,0,3,184,44
0732.png,5,16,75,9
0733.png,0,43,115,12
0734.png,5,62,184,107
0735.png,0,24,116,86
0736.png,8,43,129,3
0737.png,2,22,65,137
0738.png,6,2,68,88
0739.png,7,61,164,6
0740.png,3,1,114,150
0741.png,8,4,11,93
0742.png,2,91,105,191
0743.png,1,35,151,22
0744.png,7,9,16,94
0745.png,6,89,122,98
0746.png,7,101,144,93
0747.png,1,71,125,132
0748.png,0,100,71,69
0749.png,9,100,38,91
0750.png,5,78,87,112
0751.png,5,99,99,111
0752.png,0,12,28,13
0753.png,1,90,41,41
0754.png,7,78,142,146
0755.png,6,52,183,156
0756.png,9,46,177,91
0757.png,0,29,26,13
0758.png,4,100,178,45
0759.png,7,15,20,49
0760.png,7,0,14,44
0761.png,1,81,79,77
0762.png,5,63,131,40
0763.png,9,99,21,85
0764.png,4,73,13,136
0765.png,0,90,191,7
0766.png,8,40,62,117
0767.png,5,28,72,130
0768.png,9,67,162,105
0769.png,9,100,134,23
0770.png,6,91,48,134
0771.png,7,31,115,64
0772.png,1,41,123,35
0773.png,8,16,158,171
0774.png,3,4,21,160
0775.png,2,75,188,89
0776.png,3,76,38,186
0777.png,8,100,81,52
0778.png,2,50,132,89
0779.png,2,42,20,83
0780.png,4,21,69,71
0781.png,6,15,139,151
0782.png,0,8,6,43
0783.png,0,71,6,13
0784.png,5,14,153,50
0785.png,3,3,71,127
0786.png,8,35,21,102
0787.png,2,28,63,10
0788.png,3,94,65,9
0789.png,7,51,117,80
0790.png,2,14,79,112
0791.png,9,32,158,134
0792.png,3,78,94,68
0793.png,8,44,68,146
0794.png,7,83,162,91
0795.png,8,4,74,29
0796.png,2,73,135,73
0797.png,7,81,147,49
0798.png,9,42,25,119
0799.png,0,60,163,61
0800.png,2,25,51,100
0801.png,3,56,12,152
0802.png,2,41,162,112
0803.png,2,67,14,109
0804.png,2,70,117,156
0805.png,3,98,23,57
0806.png,3,78,105,123
0807.png,6,21,0,82
0808.png,2,97,191,115
0809.png,3,39,147,114
0810.png,2,10,146,84
0811.png,8,97,0,132
0812.png,0,38,183,48
0813.png,5,73,175,101
0814.png,5,101,88,87
0815.png,1,9,58,154
0816.png,4,65,49,34
0817.png,5,22,164,121
0818.png,6,81,99,157
0819.png,6,80,164,91
0820.png,2,3,174,99
0821.png,7,50,90,100
0822.png,0,36,121,104
0823.png,1,39,131,102
0824.png,7,82,25,86
0825.png,7,93,16,36
0826.png,8,3,138,66
0827.png,2,9,145,125
0828.png,9,13,70,164
0829.png,2,18,128,118
0830.png,2,96,177,125
0831.png,4,11,101,3
0832.png,2,34,163,131
0833.png,1,0,43,7
0834.png,1,49,55,105
0835.png,1,4,100,171
0836.png,6,43,157,55
0837.png,6,91,104,133
0838.png,6,74,5,5
0839.png,5,59,102,145
0840.png,1,51,108,91
0841.png,1,62,99,18
0842.png,7,63,155,148
0843.png,0,59,76,185
0844.png,4,44,150,20
0845.png,3,12,11,103
0846.png,3,63,55,131
0847.png,7,31,180,105
0848.png,1,38,100,79
0849.png,2,81,189,74
0850.png,3,40,112,84
0851.png,5,49,30,7
0852.png,5,80,89,83
0853.png,5,14,177,75
0854.png,6,65,35,87
0855.png,1,51,71,38
0856.png,4,40,145,132
0857.png,3,91,186,23
0858.png,7,10,130,103
0859.png,8,69,81,83
0860.png,8,44,106,95
0861.png,3,83,20,75
0862.png,6,61,57,140
0863.png,6,55,99,58
0864.png,2,77,168,183
0865.png,3,83,120,107
0866.png,0,66,186,117
0867.png,9,97,144,111
0868.png,4,99,110,137
0869.png,3,28,31,114
0870.png,8,15,69,165
0871.png,0,51,138,68
0872.png,0,34,129,190
0873.png,1,70,48,114
0874.png,1,96,45,31
0875.png,5,88,153,156
0876.png,4,94,34,59
0877.png,9,15,117,130
0878.png,3,2,125,180
0879.png,1,59,181,81
0880.png,8,41,23,85
0881.png,9,39,131,1
0882.png,3,11,77,97
0883.png,9,16,16,105
0884.png,9,62,133,148
0885.png,2,56,78,73
0886.png,9,33,178,169
0887.png,4,28,66,189
0888.png,8,94,21,164
0889.png,2,56,182,123
0890.png,9,42,20,94
0891.png,8,86,11,34
0892.png,8,1,21,16
0893.png,1,70,90,24
0894.png,5,41,120,51
0895.png,3,86,181,113
0896.png,6,41,144,50
0897.png,8,62,141,184
0898.png,7,99,131,132
0899.png,6,84,62,128
0900.png,9,99,88,5
0901.png,8,43,88,31
0902.png,0,79,18,151
0903.png,6,94,174,44
0904.png,4,78,157,39
0905.png,0,19,184,154
0906.png,0,43,72,33
0907.png,2,66,45,91
0908.png,5,42,177,14
0909.png,8,91,137,61
0910.png,2,75,6,24
0911.png,0,86,37,57
0912.png,2,101,170,58
0913.png,7,78,104,113
0914.png,6,71,145,191
0915.png,9,20,130,11
0916.png,7,54,136,80
0917.png,1,6,161,142
0918.png,5,89,140,189
0919.png,5,25,116,45
0920.png,6,85,127,158
0921.png,6,72,38,103
0922.png,3,64,171,108
0923.png,6,81,82,126
0924.png,2,30,56,191
0925.png,4,38,189,64
0926.png,7,52,49,165
0927.png,0,2,49,140
0928.png,5,11,124,169
0929.png,6,46,158,67
0930.png,4,1,168,36
0931.png,6,37,60,63
0932.png,5,63,36,50
0933.png,2,97,111,139
0934.png,4,62,133,72
0935.png,6,51,108,73
0936.png,1,95,157,14
0937.png,6,45,8,144
0938.png,0,9,79,122
0939.png,4,58,52,113
0940.png,0,63,120,94
0941.png,3,87,34,20
0942.png,1,73,136,84
0943.png,8,85,5,169
0944.png,5,26,86,104
0945.png,4,27,139,69
0946.png,4,0,111,3
0947.png,1,97,137,190
0948.png,7,24,47,34
0949.png,3,76,36,58
0950.png,9,25,160,99
0951.png,4,23,3,11
0952.png,7,89,33,134
0953.png,9,70,58,178
0954.png,7,64,79,157
0955.png,3,38,97,158
0956.png,7,23,142,34
0957.png,2,90,158,152
0958.png,8,94,124,18
0959.png,4,93,137,113
0960.png,6,36,28,66
0961.png,6,25,65,162
0962.png,1,5,102,155
0963.png,2,61,64,0
0964.png,9,20,63,160
0965.png,0,4,170,178
0966.png,4,72,103,137
0967.png,8,50,125,4
0968.png,7,70,133,66
0969.png,3,40,176,80
0970.png,9,55,52,33
0971.png,8,35,184,57
0972.png,7,3,10,38
0973.png,7,24,181,96
0974.png,0,82,154,116
0975.png,2,34,134,19
0976.png,4,45,118,56
0977.png,1,63,119,86
0978.png,1,96,117,73
0979.png,4,26,30,111
0980.png,1,38,62,43
0981.png,5,59,20,33
0982.png,4,83,46,190
0983.png,0,36,23,167
0984.png,5,15,166,68
0985.png,6,69,180,52
0986.png,2,43,10,74
0987.png,8,55,187,141
0988.png,5,55,158,73
0989.png,0,95,118,132
0990.png,2,88,23,85
0991.png,1,98,59,172
0992.png,3,78,15,34
0993.png,5,15,108,1
0994.png,7,47,95,142
0995.png,3,91,168,103
0996.png,5,38,49,106
0997.png,1,54,107,0
0998.png,3,47,42,169
0999.png,5,14,26,79
1000.png,9,34,157,103
1001.png,4,53,67,67
1002.png,3,86,191,36
1003.png,2,57,81,118
1004.png,4,24,81,163
1005.png,4,24,172,35
1006.png,1,15,40,156
1007.png,4,23,68,84
1008.png,2,62,103,68
1009.png,2,38,130,10
1010.png,3,59,189,155
1011.png,8,35,67,129
1012.png,0,34,59,43
1013.png,6,29,94,148
1014.png,8,27,122,114
1015.png,5,86,59,177
1016.png,6,52,155,36
1017.png,6,30,52,40
1018.png,4,100,14,52
1019.png,7,35,131,61
1020.png,1,32,140,113
1021.png,1,20,167,54
1022.png,4,60,34,85
1023.png,6,90,137,148
1024.png,2,45,39,20
1025.png,3,43,80,155
1026.png,9,26,88,55
1027.png,6,57,29,130
1028.png,9,98,66,138
1029.png,1,16,42,69
1030.png,3,35,105,92
1031.png,6,37,10,170
1032.png,8,42,91,85
1033.png,5,29,98,11
1034.png,9,7,139,5
1035.png,6,10,151,81
1036.png,8,67,95,63
1037.png,1,35,18,5
1038.png,6,79,55,54
1039.png,0,76,94,73
1040.png,2,24,57,56
1041.png,3,17,61,165
1042.png,7,66,113,2
1043.png,9,27,16,71
1044.png,0,8,189,115
1045.png,9,72,119,174
1046.png,7,1,167,22
1047.png,6,34,118,187
1048.png,3,98,101,100
1049.png,9,1,6,67
1050.png,2,33,108,125
1051.png,6,58,42,147
1052.png,1,46,149,29
1053.png,6,50,32,47
1054.png,7,38,91,132
1055.png,3,23,155,174
1056.png,8,14,31,22
1057.png,3,36,27,143
1058.png,8,43,180,146
1059.png,3,55,87,48
1060.png,8,34,188,9
1061.png,5,95,114,164
1062.png,9,29,84,137
1063.png,6,63,117,10
1064.png,1,59,58,18
1065.png,2,37,23,35
1066.png,5,40,32,157
1067.png,2,25,139,181
1068.png,1,85,56,26
1069.png,4,54,131,37
1070.png,3,83,170,80
1071.png,7,26,92,125
1072.png,5,95,175,43
